0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/assets/user/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/assets/user/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/assets/user/fonts/ElegantIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/latest-product/lp-3.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/latest-product/lp-2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/latest-product/lp-1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/logo.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-3.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-6.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-5.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-4.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-7.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/featured/feature-8.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:52 +0700] "GET /BTL_SpringMVC/img/latest-product/lp-1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:53 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:54 +0700] "GET /BTL_SpringMVC/assets/user/fonts/montserrat/Montserrat-Bold.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:54 +0700] "GET /BTL_SpringMVC/assets/user/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:54 +0700] "GET /BTL_SpringMVC/assets/user/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 1047
